[INFO] [launch]: All log files can be found below /root/.ros/log/2023-12-06-13-11-52-665946-d02591beb3aa-35406
[INFO] [launch]: Default logging verbosity is set to INFO
[INFO] [planning_project-1]: process started with pid [35408]
[planning_project-1] [INFO] [1701886312.775709406] [planning_project]: waypoints loaded
[planning_project-1] [INFO] [1701886312.779998905] [RRT]: Created new RRT Object.
[planning_project-1] 
[planning_project-1] [INFO] [1701886312.820242793] [planning_project]: Could not transform ego_racecar/base_link to map: "ego_racecar/base_link" passed to lookupTransform argument target_frame does not exist. 
[planning_project-1] [INFO] [1701886312.824989191] [planning_project]: Could not transform ego_racecar/base_link to map: "ego_racecar/base_link" passed to lookupTransform argument target_frame does not exist. 
[planning_project-1] [INFO] [1701886312.828310790] [planning_project]: Could not transform ego_racecar/base_link to map: "map" passed to lookupTransform argument source_frame does not exist. 
[planning_project-1] [INFO] [1701886312.999056738] [planning_project]: , 11.716703, 3.312631, 0.157810, 8.000000, 0.001435, 2.094400
[planning_project-1] [INFO] [1701886313.003906836] [planning_project]: , 11.716703, 3.312631, 0.097407, 8.000000, 0.004738, 2.094400
[planning_project-1] [INFO] [1701886313.009449735] [planning_project]: , 11.716703, 3.312631, 0.141767, 8.000000, -0.000031, 2.094400
[planning_project-1] [INFO] [1701886313.015496333] [planning_project]: , 11.716703, 3.312631, 0.069826, 8.000000, -0.000485, 2.094400
[planning_project-1] [INFO] [1701886313.019822132] [planning_project]: , 11.716703, 3.312631, 0.106613, 8.000000, 0.000491, 2.094400
[planning_project-1] [INFO] [1701886313.024616130] [planning_project]: , 11.716703, 3.312631, 0.150910, 8.000000, 0.001894, 2.094400
[planning_project-1] [INFO] [1701886313.026357130] [planning_project]: , 11.716703, 3.312631, 0.115618, 8.000000, -0.001894, 2.094400
[planning_project-1] [INFO] [1701886313.030427928] [planning_project]: , 11.716703, 3.312631, 0.110739, 8.000000, -0.001522, 2.094400
[planning_project-1] [INFO] [1701886313.034296427] [planning_project]: , 11.716703, 3.312631, 0.075117, 8.000000, -0.000965, 2.094400
[planning_project-1] [INFO] [1701886313.039361726] [planning_project]: , 11.716703, 3.312631, 0.145859, 8.000000, -0.003774, 2.094400
[planning_project-1] [INFO] [1701886313.043827324] [planning_project]: , 11.716703, 3.312631, 0.060661, 8.000000, -0.007033, 2.094400
[planning_project-1] [INFO] [1701886313.044304324] [planning_project]: , 11.716703, 3.312631, 0.150137, 8.000000, -0.005803, 2.094400
[planning_project-1] [INFO] [1701886313.050450822] [planning_project]: , 11.716703, 3.312631, 0.078591, 8.000000, -0.008757, 2.094400
[planning_project-1] [INFO] [1701886313.058952520] [planning_project]: , 11.716703, 3.312631, 0.105830, 8.000000, -0.014817, 2.094400
[planning_project-1] [INFO] [1701886313.062689418] [planning_project]: , 11.716703, 3.312631, 0.128408, 8.000000, -0.009125, 2.094400
[planning_project-1] [INFO] [1701886313.066483817] [planning_project]: , 11.716703, 3.312631, 0.097568, 8.000000, -0.010140, 2.094400
[planning_project-1] [INFO] [1701886313.069981716] [planning_project]: , 11.716703, 3.312631, 0.149777, 8.000000, -0.009653, 2.094400
[planning_project-1] [INFO] [1701886313.073160515] [planning_project]: , 11.716703, 3.312631, 0.074411, 8.000000, -0.003474, 2.094400
[planning_project-1] [INFO] [1701886313.076384814] [planning_project]: , 11.716703, 3.312631, 0.020637, 8.000000, -0.008698, 2.094400
[planning_project-1] [INFO] [1701886313.082933512] [planning_project]: , 11.716703, 3.312631, 0.147954, 8.000000, -0.006120, 2.094400
[planning_project-1] [INFO] [1701886313.090257810] [planning_project]: , 11.716703, 3.312631, 0.021813, 8.000000, -0.004369, 2.094400
[planning_project-1] [INFO] [1701886313.096445008] [planning_project]: , 11.716703, 3.312631, 0.135995, 8.000000, -0.008394, 2.094400
[planning_project-1] [INFO] [1701886313.102585606] [planning_project]: , 11.716703, 3.312631, 0.100049, 8.000000, -0.010762, 2.094400
[planning_project-1] [INFO] [1701886313.107674605] [planning_project]: , 11.716703, 3.312631, 0.103320, 8.000000, -0.012880, 2.094400
